Channel:Channel1
Capture Time:2025-01-14 13:43:34.429
Length:39300
Sample Rate:5kSa/s
Interval:200us
Time Base:500ms/div
Delay:0s
Vertical Sensitivity:20V/div
Vertical Offset:-800mV
ch1_time(s),ch1_value(V)
-3.828399872,0
-3.828199872,0
-3.827999872,0
-3.827799872,0
-3.827599872,0.8
-3.827399872,0.8
-3.827199872,0.8
-3.826999872,0
-3.826799872,0
-3.826599872,0
-3.826399872,1.6
-3.826199872,0.8
-3.825999872,0.8
-3.825799872,0.8
-3.825599872,0.8
-3.825399872,0
-3.825199872,0
-3.824999872,0.8
-3.824799872,0
-3.824599872,0.8
-3.824399872,0.8
-3.824199872,0
-3.823999872,0
-3.823799872,0
-3.823599872,0
-3.823399872,0
-3.823199872,-0.8
-3.822999872,-0.8
-3.822799872,0
-3.822599872,0
-3.822399872,0
-3.822199872,-0.8
-3.821999872,0
-3.821799872,-0.8
-3.821599872,0
-3.821399872,-0.8
-3.821199872,-0.8
-3.820999872,-0.8
-3.820799872,-0.8
-3.820599872,-0.8
-3.820399872,0
-3.820199872,-0.8
-3.819999872,-0.8
-3.819799872,0
-3.819599872,-0.8
-3.819399872,-0.8
-3.819199872,-0.8
-3.818999872,0
-3.818799872,-0.8
-3.818599872,-0.8
-3.818399872,-0.8
-3.818199872,-0.8
-3.817999872,-0.8
-3.817799872,-0.8
-3.817599872,-0.8
-3.817399872,-0.8
-3.817199872,-0.8
-3.816999872,-0.8
-3.816799872,0
-3.816599872,0
-3.816399872,-0.8
-3.816199872,-0.8
-3.815999872,0
-3.815799872,0
-3.815599872,0
-3.815399872,0
-3.815199872,0
-3.814999872,0
-3.814799872,0
-3.814599872,0
-3.814399872,0
-3.814199872,0
-3.813999872,0
-3.813799872,0
-3.813599872,0
-3.813399872,0.8
-3.813199872,0.8
-3.812999872,0.8
-3.812799872,0.8
-3.812599872,0.8
-3.812399872,0.8
-3.812199872,0.8
-3.811999872,0.8
-3.811799872,0.8
-3.811599872,1.6
-3.811399872,1.6
-3.811199872,0.8
-3.810999872,0.8
-3.810799872,0.8
-3.810599872,0.8
-3.810399872,0.8
-3.810199872,0.8
-3.809999872,0.8
-3.809799872,0.8
-3.809599872,0.8
-3.809399872,0.8
-3.809199872,0.8
-3.808999872,0.8
-3.808799872,0.8
-3.808599872,0.8
-3.808399872,0.8
-3.808199872,0.8
-3.807999872,0.8
-3.807799872,0.8
-3.807599872,0.8
-3.807399872,0.8
-3.807199872,0.8
-3.806999872,0.8
-3.806799872,1.6
-3.806599872,0.8
-3.806399872,0.8
-3.806199872,0.8
-3.805999872,0.8
-3.805799872,0.8
-3.805599872,0
-3.805399872,0.8
-3.805199872,0.8
-3.804999872,0.8
-3.804799872,0.8
-3.804599872,0.8
-3.804399872,0.8
-3.804199872,0
-3.803999872,0.8
-3.803799872,0.8
-3.803599872,0
-3.803399872,0
-3.803199872,0
-3.802999872,0
-3.802799872,0
-3.802599872,0
-3.802399872,0
-3.802199872,0
-3.801999872,0
-3.801799872,-0.8
-3.801599872,0
-3.801399872,0
-3.801199872,0
-3.800999872,-0.8
-3.800799872,0
-3.800599872,0
-3.800399872,0
-3.800199872,0
-3.799999872,-0.8
-3.799799872,0
-3.799599872,0
-3.799399872,-0.8
-3.799199872,0
-3.798999872,-0.8
-3.798799872,0
-3.798599872,0
-3.798399872,-0.8
-3.798199872,-0.8
-3.797999872,-0.8
-3.797799872,-0.8
-3.797599872,-0.8
-3.797399872,0
-3.797199872,-0.8
-3.796999872,0
-3.796799872,0
-3.796599872,0
-3.796399872,0
-3.796199872,0
-3.795999872,0
-3.795799872,0
-3.795599872,0
-3.795399872,0
-3.795199872,0
-3.794999872,0
-3.794799872,0
-3.794599872,0
-3.794399872,0
-3.794199872,0
-3.793999872,0
-3.793799872,0
-3.793599872,0.8
-3.793399872,0.8
-3.793199872,0.8
-3.792999872,0.8
-3.792799872,0.8
-3.792599872,0.8
-3.792399872,0.8
-3.792199872,0.8
-3.791999872,0.8
-3.791799872,0.8
-3.791599872,0.8
-3.791399872,0.8
-3.791199872,1.6
-3.790999872,1.6
-3.790799872,0.8
-3.790599872,1.6
-3.790399872,0.8
-3.790199872,0.8
-3.789999872,0.8
-3.789799872,0.8
-3.789599872,0.8
-3.789399872,0.8
-3.789199872,0.8
-3.788999872,0.8
-3.788799872,0.8
-3.788599872,0.8
-3.788399872,1.6
-3.788199872,0.8
-3.787999872,0.8
-3.787799872,0.8
-3.787599872,0.8
-3.787399872,0.8
-3.787199872,0.8
-3.786999872,0.8
-3.786799872,1.6
-3.786599872,0.8
-3.786399872,0.8
-3.786199872,0.8
-3.785999872,0.8
-3.785799872,0.8
-3.785599872,0.8
-3.785399872,0.8
-3.785199872,0.8
-3.784999872,0.8
-3.784799872,0.8
-3.784599872,0.8
-3.784399872,0.8
-3.784199872,0
-3.783999872,0.8
-3.783799872,0
-3.783599872,0
-3.783399872,0
-3.783199872,0
-3.782999872,0
-3.782799872,0
-3.782599872,0
-3.782399872,0
-3.782199872,0
-3.781999872,0
-3.781799872,0
-3.781599872,0
-3.781399872,0
-3.781199872,0
-3.780999872,0
-3.780799872,0
-3.780599872,0
-3.780399872,0
-3.780199872,0
-3.779999872,0
-3.779799872,0
-3.779599872,0
-3.779399872,0
-3.779199872,0
-3.778999872,0
-3.778799872,0
-3.778599872,-0.8
-3.778399872,0
-3.778199872,0
-3.777999872,0
-3.777799872,0
-3.777599872,0
-3.777399872,-0.8
-3.777199872,-0.8
-3.776999872,0
-3.776799872,0
-3.776599872,0
-3.776399872,0
-3.776199872,-0.8
-3.775999872,-0.8
-3.775799872,0
-3.775599872,0
-3.775399872,0
-3.775199872,0
-3.774999872,0
-3.774799872,0
-3.774599872,0
-3.774399872,0
-3.774199872,0
-3.773999872,0
-3.773799872,0
-3.773599872,0.8
-3.773399872,0.8
-3.773199872,0.8
-3.772999872,0.8
-3.772799872,0.8
-3.772599872,0.8
-3.772399872,0.8
-3.772199872,0.8
-3.771999872,1.6
-3.771799872,0.8
-3.771599872,0.8
-3.771399872,0.8
-3.771199872,0.8
-3.770999872,1.6
-3.770799872,0.8
-3.770599872,0.8
-3.770399872,0.8
-3.770199872,1.6
-3.769999872,1.6
-3.769799872,0.8
-3.769599872,0.8
-3.769399872,0.8
-3.769199872,0.8
-3.768999872,0.8
-3.768799872,0.8
-3.768599872,0.8
-3.768399872,0.8
-3.768199872,0.8
-3.767999872,1.6
-3.767799872,0.8
-3.767599872,0.8
-3.767399872,0.8
-3.767199872,0.8
-3.766999872,0.8
-3.766799872,1.6
-3.766599872,0.8
-3.766399872,0.8
-3.766199872,0.8
-3.765999872,0.8
-3.765799872,0.8
-3.765599872,0.8
-3.765399872,0.8
-3.765199872,0.8
-3.764999872,0.8
-3.764799872,0.8
-3.764599872,0.8
-3.764399872,0.8
-3.764199872,0
-3.763999872,0.8
-3.763799872,0
-3.763599872,0.8
-3.763399872,0.8
-3.763199872,0
-3.762999872,0
-3.762799872,0
-3.762599872,0
-3.762399872,0
-3.762199872,0
-3.761999872,0
-3.761799872,0
-3.761599872,0
-3.761399872,0
-3.761199872,0
-3.760999872,0
-3.760799872,0
-3.760599872,0
-3.760399872,0
-3.760199872,0
-3.759999872,0
-3.759799872,0
-3.759599872,0
-3.759399872,0
-3.759199872,-0.8
-3.758999872,-0.8
-3.758799872,-0.8
-3.758599872,0
-3.758399872,0
-3.758199872,0
-3.757999872,-0.8
-3.757799872,0
-3.757599872,0
-3.757399872,0
-3.757199872,0
-3.756999872,0
-3.756799872,-0.8
-3.756599872,0
-3.756399872,0
-3.756199872,0
-3.755999872,0
-3.755799872,0
-3.755599872,0
-3.755399872,0
-3.755199872,0
-3.754999872,0
-3.754799872,0
-3.754599872,0
-3.754399872,0
-3.754199872,0
-3.753999872,0
-3.753799872,0
-3.753599872,0.8
-3.753399872,0.8
-3.753199872,0
-3.752999872,0
-3.752799872,1.6
-3.752599872,1.6
-3.752399872,0.8
-3.752199872,0.8
-3.751999872,0.8
-3.751799872,0.8
-3.751599872,0.8
-3.751399872,0.8
-3.751199872,0.8
-3.750999872,0.8
-3.750799872,0.8
-3.750599872,0.8
-3.750399872,1.6
-3.750199872,1.6
-3.749999872,0.8
-3.749799872,0.8
-3.749599872,0.8
-3.749399872,0.8
-3.749199872,0.8
-3.748999872,1.6
-3.748799872,1.6
-3.748599872,0.8
-3.748399872,1.6
-3.748199872,1.6
-3.747999872,1.6
-3.747799872,1.6
-3.747599872,1.6
-3.747399872,1.6
-3.747199872,1.6
-3.746999872,0.8
-3.746799872,1.6
-3.746599872,1.6
-3.746399872,0.8
-3.746199872,0.8
-3.745999872,1.6
-3.745799872,0.8
-3.745599872,0.8
-3.745399872,0.8
-3.745199872,0.8
-3.744999872,0.8
-3.744799872,0.8
-3.744599872,0.8
-3.744399872,0.8
-3.744199872,0.8
-3.743999872,0.8
-3.743799872,0.8
-3.743599872,0
-3.743399872,0.8
-3.743199872,0
-3.742999872,0
-3.742799872,0
-3.742599872,0
-3.742399872,0
-3.742199872,0
-3.741999872,0
-3.741799872,0
-3.741599872,-0.8
-3.741399872,-0.8
-3.741199872,-0.8
-3.740999872,-0.8
-3.740799872,-0.8
-3.740599872,-0.8
-3.740399872,-0.8
-3.740199872,-0.8
-3.739999872,-0.8
-3.739799872,-0.8
-3.739599872,-0.8
-3.739399872,-0.8
-3.739199872,-0.8
-3.738999872,-0.8
-3.738799872,-0.8
-3.738599872,-0.8
-3.738399872,-0.8
-3.738199872,-0.8
-3.737999872,-0.8
-3.737799872,-0.8
-3.737599872,-0.8
-3.737399872,-0.8
-3.737199872,-0.8
-3.736999872,-0.8
-3.736799872,-0.8
-3.736599872,-0.8
-3.736399872,0
-3.736199872,-0.8
-3.735999872,-0.8
-3.735799872,0
-3.735599872,0
-3.735399872,0
-3.735199872,0
-3.734999872,0
-3.734799872,0
-3.734599872,0
-3.734399872,0
-3.734199872,0
-3.733999872,0
-3.733799872,0
-3.733599872,0
-3.733399872,0
-3.733199872,0.8
-3.732999872,0.8
-3.732799872,0.8
-3.732599872,0.8
-3.732399872,0.8
-3.732199872,1.6
-3.731999872,0.8
-3.731799872,0.8
-3.731599872,1.6
-3.731399872,0.8
-3.731199872,1.6
-3.730999872,1.6
-3.730799872,1.6
-3.730599872,2.4
-3.730399872,2.4
-3.730199872,1.6
-3.729999872,2.4
-3.729799872,1.6
-3.729599872,1.6
-3.729399872,1.6
-3.729199872,1.6
-3.728999872,0.8
-3.728799872,1.6
-3.728599872,1.6
-3.728399872,2.4
-3.728199872,1.6
-3.727999872,1.6
-3.727799872,0.8
-3.727599872,1.6
-3.727399872,1.6
-3.727199872,2.4
-3.726999872,1.6
-3.726799872,1.6
-3.726599872,1.6
-3.726399872,1.6
-3.726199872,1.6
-3.725999872,0.8
-3.725799872,0.8
-3.725599872,1.6
-3.725399872,0.8
-3.725199872,0.8
-3.724999872,0.8
-3.724799872,0.8
-3.724599872,0.8
-3.724399872,0
-3.724199872,0
-3.723999872,0.8
-3.723799872,0
-3.723599872,0.8
-3.723399872,0
-3.723199872,0
-3.722999872,0
-3.722799872,0
-3.722599872,0
-3.722399872,0
-3.722199872,0
-3.721999872,0
-3.721799872,0
-3.721599872,-0.8
-3.721399872,-0.8
-3.721199872,0
-3.720999872,-0.8
-3.720799872,0
-3.720599872,-0.8
-3.720399872,0
-3.720199872,-0.8
-3.719999872,-0.8
-3.719799872,-0.8
-3.719599872,-0.8
-3.719399872,-0.8
