Channel:Channel1
Capture Time:2025-01-14 13:44:02.378
Length:39400
Sample Rate:5kSa/s
Interval:200us
Time Base:500ms/div
Delay:0s
Vertical Sensitivity:20V/div
Vertical Offset:-800mV
ch1_time(s),ch1_value(V)
-3.7464,-0.8
-3.7462,-0.8
-3.746,-0.8
-3.7458,0
-3.7456,0
-3.7454,-0.8
-3.7452,-0.8
-3.745,-0.8
-3.7448,-0.8
-3.7446,-0.8
-3.7444,-0.8
-3.7442,-0.8
-3.744,-0.8
-3.7438,-0.8
-3.7436,-0.8
-3.7434,-0.8
-3.7432,-0.8
-3.743,-0.8
-3.7428,-0.8
-3.7426,-0.8
-3.7424,-0.8
-3.7422,-0.8
-3.742,-0.8
-3.7418,-0.8
-3.7416,0
-3.7414,-0.8
-3.7412,-0.8
-3.741,0
-3.7408,0
-3.7406,0
-3.7404,0
-3.7402,0
-3.74,0
-3.7398,0
-3.7396,0
-3.7394,0
-3.7392,0
-3.739,0
-3.7388,0
-3.7386,0.8
-3.7384,0.8
-3.7382,0.8
-3.738,0.8
-3.7378,0.8
-3.7376,0.8
-3.7374,1.6
-3.7372,0.8
-3.737,0.8
-3.7368,0.8
-3.7366,1.6
-3.7364,1.6
-3.7362,2.4
-3.736,1.6
-3.7358,1.6
-3.7356,2.4
-3.7354,2.4
-3.7352,1.6
-3.735,1.6
-3.7348,1.6
-3.7346,2.4
-3.7344,2.4
-3.7342,1.6
-3.734,2.4
-3.7338,1.6
-3.7336,2.4
-3.7334,2.4
-3.7332,2.4
-3.733,1.6
-3.7328,2.4
-3.7326,1.6
-3.7324,1.6
-3.7322,1.6
-3.732,1.6
-3.7318,1.6
-3.7316,0.8
-3.7314,0.8
-3.7312,0.8
-3.731,0.8
-3.7308,0.8
-3.7306,0.8
-3.7304,0.8
-3.7302,0.8
-3.73,0.8
-3.7298,0.8
-3.7296,0.8
-3.7294,0.8
-3.7292,0
-3.729,0.8
-3.7288,0
-3.7286,0
-3.7284,0
-3.7282,0
-3.728,0
-3.7278,0
-3.7276,0
-3.7274,0
-3.7272,0
-3.727,0
-3.7268,0
-3.7266,-0.8
-3.7264,0
-3.7262,0
-3.726,-0.8
-3.7258,-0.8
-3.7256,-0.8
-3.7254,-0.8
-3.7252,-0.8
-3.725,-0.8
-3.7248,-0.8
-3.7246,-0.8
-3.7244,-0.8
-3.7242,-0.8
-3.724,-0.8
-3.7238,-0.8
-3.7236,-0.8
-3.7234,-0.8
-3.7232,-0.8
-3.723,-1.6
-3.7228,-0.8
-3.7226,-0.8
-3.7224,-0.8
-3.7222,-0.8
-3.722,0
-3.7218,-0.8
-3.7216,-0.8
-3.7214,-0.8
-3.7212,0
-3.721,0
-3.7208,0
-3.7206,0
-3.7204,0
-3.7202,0
-3.72,0
-3.7198,0
-3.7196,0
-3.7194,0
-3.7192,0
-3.719,0
-3.7188,0.8
-3.7186,0.8
-3.7184,0.8
-3.7182,0.8
-3.718,0.8
-3.7178,0.8
-3.7176,0.8
-3.7174,0.8
-3.7172,0.8
-3.717,0.8
-3.7168,1.6
-3.7166,1.6
-3.7164,1.6
-3.7162,1.6
-3.716,2.4
-3.7158,2.4
-3.7156,2.4
-3.7154,1.6
-3.7152,1.6
-3.715,1.6
-3.7148,1.6
-3.7146,1.6
-3.7144,1.6
-3.7142,1.6
-3.714,1.6
-3.7138,1.6
-3.7136,1.6
-3.7134,1.6
-3.7132,1.6
-3.713,1.6
-3.7128,1.6
-3.7126,2.4
-3.7124,0.8
-3.7122,1.6
-3.712,1.6
-3.7118,1.6
-3.7116,1.6
-3.7114,0.8
-3.7112,1.6
-3.711,0.8
-3.7108,0.8
-3.7106,0.8
-3.7104,0.8
-3.7102,0.8
-3.71,0.8
-3.7098,0.8
-3.7096,0.8
-3.7094,0.8
-3.7092,0.8
-3.709,0.8
-3.7088,0
-3.7086,0
-3.7084,0
-3.7082,0
-3.708,0
-3.7078,0
-3.7076,0
-3.7074,0
-3.7072,0
-3.707,-0.8
-3.7068,-0.8
-3.7066,-0.8
-3.7064,0
-3.7062,-0.8
-3.706,-0.8
-3.7058,0
-3.7056,-0.8
-3.7054,-0.8
-3.7052,0
-3.705,-0.8
-3.7048,-0.8
-3.7046,-0.8
-3.7044,-0.8
-3.7042,-0.8
-3.704,-0.8
-3.7038,-0.8
-3.7036,-0.8
-3.7034,-0.8
-3.7032,-0.8
-3.703,-0.8
-3.7028,-0.8
-3.7026,-0.8
-3.7024,-0.8
-3.7022,-0.8
-3.702,-0.8
-3.7018,0
-3.7016,-0.8
-3.7014,-0.8
-3.7012,-0.8
-3.701,0
-3.7008,0
-3.7006,0
-3.7004,0
-3.7002,0
-3.7,0
-3.6998,0
-3.6996,0
-3.6994,0
-3.6992,0
-3.699,0
-3.6988,0.8
-3.6986,0
-3.6984,0.8
-3.6982,0
-3.698,0.8
-3.6978,0.8
-3.6976,0.8
-3.6974,0.8
-3.6972,0.8
-3.697,1.6
-3.6968,1.6
-3.6966,1.6
-3.6964,1.6
-3.6962,2.4
-3.696,1.6
-3.6958,2.4
-3.6956,1.6
-3.6954,2.4
-3.6952,2.4
-3.695,1.6
-3.6948,1.6
-3.6946,2.4
-3.6944,1.6
-3.6942,1.6
-3.694,1.6
-3.6938,1.6
-3.6936,2.4
-3.6934,1.6
-3.6932,1.6
-3.693,1.6
-3.6928,1.6
-3.6926,1.6
-3.6924,1.6
-3.6922,1.6
-3.692,1.6
-3.6918,1.6
-3.6916,1.6
-3.6914,1.6
-3.6912,0.8
-3.691,1.6
-3.6908,0.8
-3.6906,0.8
-3.6904,0.8
-3.6902,0.8
-3.69,0.8
-3.6898,0.8
-3.6896,0.8
-3.6894,0.8
-3.6892,0.8
-3.689,0
-3.6888,0.8
-3.6886,0
-3.6884,0
-3.6882,0
-3.688,0
-3.6878,0
-3.6876,0
-3.6874,-0.8
-3.6872,0
-3.687,0
-3.6868,0
-3.6866,-0.8
-3.6864,-0.8
-3.6862,-0.8
-3.686,-0.8
-3.6858,0
-3.6856,-0.8
-3.6854,-0.8
-3.6852,-0.8
-3.685,-0.8
-3.6848,-0.8
-3.6846,-0.8
-3.6844,-0.8
-3.6842,-0.8
-3.684,-0.8
-3.6838,-0.8
-3.6836,-0.8
-3.6834,-0.8
-3.6832,-0.8
-3.683,-0.8
-3.6828,-0.8
-3.6826,-0.8
-3.6824,-0.8
-3.6822,-0.8
-3.682,-0.8
-3.6818,-0.8
-3.6816,-0.8
-3.6814,-0.8
-3.6812,-0.8
-3.681,-0.8
-3.6808,0
-3.6806,0
-3.6804,0
-3.6802,0
-3.68,0
-3.6798,0
-3.6796,0
-3.6794,0
-3.6792,0
-3.679,0.8
-3.6788,0
-3.6786,0.8
-3.6784,0
-3.6782,0.8
-3.678,0.8
-3.6778,1.6
-3.6776,0.8
-3.6774,1.6
-3.6772,0.8
-3.677,1.6
-3.6768,0.8
-3.6766,1.6
-3.6764,1.6
-3.6762,2.4
-3.676,1.6
-3.6758,2.4
-3.6756,2.4
-3.6754,2.4
-3.6752,1.6
-3.675,2.4
-3.6748,1.6
-3.6746,1.6
-3.6744,1.6
-3.6742,1.6
-3.674,1.6
-3.6738,2.4
-3.6736,1.6
-3.6734,2.4
-3.6732,0.8
-3.673,2.4
-3.6728,1.6
-3.6726,1.6
-3.6724,0.8
-3.6722,1.6
-3.672,0.8
-3.6718,1.6
-3.6716,1.6
-3.6714,0.8
-3.6712,0.8
